,Average wind speed (m/s),Average power (kW),Input turbulence intensity (%),Input alpha
4470,5.5983,662.068,25.27,0.06
116,7.28842,1821.4,27.32,-0.36
3976,4.52991,330.161,18.48,-0.01
2949,22.0659,4977.01,25.46,0.1
918,24.14,4986.95,13.56,0.47
1056,18.4268,4781.53,44.79,-0.22
3227,4.66595,339.883,7.18,-0.06
5584,20.8384,4941.5,28.56,0.04
7360,22.0993,4986.76,7.19,0.15
6575,3.30164,161.186,41.96,-0.33
490,23.9136,4986.96,6.94,-0.18
1743,8.41178,2543.11,43.93,-0.14
7136,21.0643,4986.17,17.39,-0.09
6916,14.5088,4983.21,6.68,0.46
3565,18.3562,4977.34,23.81,0.05
878,3.2762,97.8272,20.42,0.01
1307,15.3387,4980.63,17.85,-0.23
568,20.5339,4858.91,40.14,-0.48
4387,24.2586,4886.94,43.94,-0.19
1048,10.4426,3673.14,28.22,0.2
944,18.9204,4981.55,22.48,0.11
2217,4.8577,448.194,20.76,-0.16
2884,10.4545,3742.77,27.36,0.49
4292,24.2966,4959.62,25.36,0.45
618,13.9704,4984.47,15.15,-0.11
107,24.6433,4986.85,9.23,-0.43
2965,23.0662,4982.43,19.84,-0.06
7661,23.9714,4946.45,31.71,-0.09
7666,5.53787,732.125,42.09,0.28
5027,5.96209,911.088,22.86,-0.3
3919,9.4242,3221.72,43.12,-0.08
1673,9.999,3810.53,35.4,-0.34
171,21.1345,4986.57,12.09,-0.16
4919,22.248,4917.57,33.05,0.35
3102,15.4025,4879.66,25.07,-0.47
4194,19.2005,4947.71,31.12,0.37
6395,20.7845,4831.71,33.99,0.32
6660,24.5636,4987.13,7.77,0.01
1862,4.58684,351.946,21.37,0.38
2341,6.73324,1381.03,43.93,-0.14
3737,14.5312,4776.87,33.62,0.03
2161,20.3826,4979.87,26.36,0.18
7399,13.6617,4658.8,42.66,-0.04
5553,15.6203,4970.78,23.06,0.4
4,16.0786,4964.27,26.28,0.08
5430,4.52289,413.064,44.09,0.44
1703,16.737,4889.79,41.16,-0.35
7131,13.0406,4813.47,23.32,-0.13
3595,9.67717,3780.87,35.14,-0.46
2507,6.31268,929.089,5.63,-0.18
531,24.8712,4917.05,39.34,0.35
1342,12.0828,4169.14,41.29,-0.04
6135,9.22135,2680.52,6.65,0.39
5991,19.3563,4970.64,26.89,-0.14
3176,21.9627,4932.88,38.42,0.26
5740,6.66127,1354.09,21.64,-0.44
2075,22.2357,4986.52,10.47,0.37
733,24.7429,4986.08,16.54,0.24
3438,21.5723,4978.05,21.98,0.27
2250,20.7811,4720.36,42.09,-0.33
659,13.3639,4631.54,35.76,-0.17
4817,12.4768,4980.63,6.01,-0.21
990,13.9529,4885.18,28.75,0.22
7909,25.0131,4921.53,30.63,-0.17
4902,22.4705,4965.86,27.49,0.12
6248,3.31306,88.7565,5.13,0.13
2895,21.2333,4977.69,24.24,-0.17
5441,7.44682,1767.35,39.79,0.23
7451,23.1698,4977.7,23.34,-0.21
2778,22.8998,4969.56,29.49,-0.38
